t1,t2,value
0.1994662002,0.0498665501,0.081
0.1994662002,0.0997331001,0.093
0.1994662002,0.1495996502,0.07
0.1994662002,0.1994662002,0.022
0.1994662002,0.2493327503,0.033
0.1994662002,0.2991993003,0.036
0.1994662002,0.3490658504,0.024
0.1994662002,0.3989324005,0.066
0.1994662002,0.4487989505,0.098
0.1994662002,0.4986655006,0.109
0.1994662002,0.5485320506,0.079
0.1994662002,0.5983986007,0.117
0.1994662002,0.6482651507,0.138
0.1994662002,0.6981317008,0.136
0.1994662002,0.7479982509,0.14
0.1994662002,0.7978648009,0.167
0.1994662002,0.847731351,0.112
0.1994662002,0.897597901,0.163
0.1994662002,0.9474644511,0.162
0.1994662002,0.9973310011,0.166
0.1994662002,1.0471975512,0.185
0.1994662002,1.0970641013,0.162
0.1994662002,1.1469306513,0.172
0.1994662002,1.1967972014,0.167
0.1994662002,1.2466637514,0.182
0.1994662002,1.2965303015,0.201
0.1994662002,1.3463968515,0.168
0.1994662002,1.3962634016,0.155
0.1994662002,1.4461299517,0.179
0.1994662002,1.4959965017,0.236
0.1994662002,1.5458630518,0.267
0.1994662002,1.5957296018,0.066
0.1994662002,1.6455961519,0.236
0.1994662002,1.6954627019,0.131
0.1994662002,1.745329252,0.079
0.1994662002,1.7951958021,0.181
0.1994662002,1.8450623521,0.226
0.1994662002,1.8949289022,0.285
0.1994662002,1.9447954522,0.254
0.1994662002,1.9946620023,0.198
0.1994662002,2.0445285523,0.191
0.1994662002,2.0943951024,0.16
0.1994662002,2.1442616525,0.164
0.1994662002,2.1941282025,0.13
0.1994662002,2.2439947526,0.115
0.1994662002,2.2938613026,0.107
0.1994662002,2.3437278527,0.126
0.1994662002,2.3935944027,0.148
0.1994662002,2.4434609528,0.166
0.1994662002,2.4933275028,0.165
0.1994662002,2.5431940529,0.174
0.1994662002,2.593060603,0.211
0.1994662002,2.642927153,0.368
0.1994662002,2.6927937031,0.229
0.1994662002,2.7426602531,0.232
0.1994662002,2.7925268032,0.191
0.1994662002,2.8423933532,0.288
0.1994662002,2.8922599033,0.228
0.1994662002,2.9421264534,0.381
0.1994662002,2.9919930034,0.348
0.1994662002,3.0418595535,0.421
0.1994662002,3.0917261035,0.585
0.1994662002,3.1415926536,0.598
0.1994662002,3.1914592036,0.282
0.1994662002,3.2413257537,0.515
0.1994662002,3.2911923038,0.261
0.1994662002,3.3410588538,0.365
0.1994662002,3.3909254039,0.333
0.1994662002,3.4407919539,0.344
0.1994662002,3.490658504,0.392
0.1994662002,3.540525054,0.333
0.1994662002,3.5903916041,0.331
0.1994662002,3.6402581542,0.382
0.1994662002,3.6901247042,0.211
0.1994662002,3.7399912543,0.186
0.1994662002,3.7898578043,0.221
0.1994662002,3.8397243544,0.205
0.1994662002,3.8895909044,0.246
0.1994662002,3.9394574545,0.16
0.1994662002,3.9893240046,0.294
0.1994662002,4.0391905546,0.297
0.1994662002,4.0890571047,0.173
0.1994662002,4.1389236547,0.219
0.1994662002,4.1887902048,0.141
0.1994662002,4.2386567548,0.118
0.1994662002,4.2885233049,0.09
0.1994662002,4.338389855,0.15
0.1994662002,4.388256405,0.158
0.1994662002,4.4381229551,0.156
0.1994662002,4.4879895051,0.149
0.1994662002,4.5378560552,0.148
0.1994662002,4.5877226052,0.133
0.1994662002,4.6375891553,0.109
0.1994662002,4.6874557054,0.077
0.1994662002,4.7373222554,0.111
0.1994662002,4.7871888055,0.122
0.1994662002,4.8370553555,0.154
0.1994662002,4.8869219056,0.222
0.1994662002,4.9367884556,0.176
0.1994662002,4.9866550057,0.162
0.1994662002,5.0365215558,0.2
0.1994662002,5.0863881058,0.216
0.1994662002,5.1362546559,0.201
0.1994662002,5.1861212059,0.188
0.1994662002,5.235987756,0.179
0.1994662002,5.285854306,0.198
0.1994662002,5.3357208561,0.16
0.1994662002,5.3855874062,0.19
0.1994662002,5.4354539562,0.197
0.1994662002,5.4853205063,0.197
0.1994662002,5.5351870563,0.199
0.1994662002,5.5850536064,0.191
0.1994662002,5.6349201564,0.186
0.1994662002,5.6847867065,0.191
0.1994662002,5.7346532566,0.163
0.1994662002,5.7845198066,0.184
0.1994662002,5.8343863567,0.148
0.1994662002,5.8842529067,0.181
0.1994662002,5.9341194568,0.13
0.1994662002,5.9839860068,0.172
0.1994662002,6.0338525569,0.136
0.1994662002,6.083719107,0.16
0.1994662002,6.133585657,0.144
0.1994662002,6.1834522071,0.128
0.1994662002,6.2333187571,0.137
0.2493327503,0.0,0.141
0.2493327503,0.0498665501,0.121
0.2493327503,0.0997331001,0.064
0.2493327503,0.1495996502,0.096
0.2493327503,0.1994662002,0.079
0.2493327503,0.2493327503,0.034
0.2493327503,0.2991993003,0.034
0.2493327503,0.3490658504,0.046
0.2493327503,0.3989324005,0.038
0.2493327503,0.4487989505,0.045
0.2493327503,0.4986655006,0.086
0.2493327503,0.5485320506,0.109
0.2493327503,0.5983986007,0.109
0.2493327503,0.6482651507,0.079
0.2493327503,0.6981317008,0.131
0.2493327503,0.7479982509,0.14
0.2493327503,0.7978648009,0.108
0.2493327503,0.847731351,0.16
0.2493327503,0.897597901,0.161
0.2493327503,0.9474644511,0.156
0.2493327503,0.9973310011,0.163
0.2493327503,1.0471975512,0.148
0.2493327503,1.0970641013,0.183
0.2493327503,1.1469306513,0.181
0.2493327503,1.1967972014,0.176
0.2493327503,1.2466637514,0.173
0.2493327503,1.2965303015,0.117
0.2493327503,1.3463968515,0.18
0.2493327503,1.3962634016,0.184
0.2493327503,1.4461299517,0.182
0.2493327503,1.4959965017,0.14
0.2493327503,1.5458630518,0.131
0.2493327503,1.5957296018,0.321
0.2493327503,1.6455961519,0.277
0.2493327503,1.6954627019,0.103
0.2493327503,1.745329252,0.219
0.2493327503,1.7951958021,0.164
0.2493327503,1.8450623521,0.25
0.2493327503,1.8949289022,0.308
0.2493327503,1.9447954522,0.233
