t1,t2,value
1.6057029118,4.5378560552,0.978
1.6057029118,4.5727626402,0.856
1.6057029118,4.6076692253,0.93
1.6057029118,4.6425758103,1.099
1.6057029118,4.6774823953,0.974
1.6057029118,4.7123889804,1.154
1.6057029118,4.7472955654,0.888
1.6057029118,4.7822021505,0.854
1.6057029118,4.8171087355,1.147
1.6057029118,4.8520153205,1.37
1.6057029118,4.8869219056,0.93
1.6057029118,4.9218284906,0.849
1.6057029118,4.9567350757,0.808
1.6057029118,4.9916416607,0.87
1.6057029118,5.0265482457,0.975
1.6057029118,5.0614548308,0.985
1.6057029118,5.0963614158,0.859
1.6057029118,5.1312680009,0.856
1.6057029118,5.1661745859,0.989
1.6057029118,5.2010811709,0.855
1.6057029118,5.235987756,0.72
1.6057029118,5.270894341,0.89
1.6057029118,5.3058009261,0.477
1.6057029118,5.3407075111,0.585
1.6057029118,5.3756140961,0.629
1.6057029118,5.4105206812,0.63
1.6057029118,5.4454272662,0.535
1.6057029118,5.4803338513,0.718
1.6057029118,5.5152404363,0.734
1.6057029118,5.5501470213,0.685
1.6057029118,5.5850536064,0.406
1.6057029118,5.6199601914,0.606
1.6057029118,5.6548667765,0.644
1.6057029118,5.6897733615,0.7
1.6057029118,5.7246799465,0.789
1.6057029118,5.7595865316,0.679
1.6057029118,5.7944931166,0.804
1.6057029118,5.8293997017,0.446
1.6057029118,5.8643062867,0.211
1.6057029118,5.8992128717,0.581
1.6057029118,5.9341194568,0.46
1.6057029118,5.9690260418,0.485
1.6057029118,6.0039326269,0.288
1.6057029118,6.0388392119,0.35
1.6057029118,6.0737457969,0.265
1.6057029118,6.108652382,0.265
1.6057029118,6.143558967,0.259
1.6057029118,6.1784655521,0.197
1.6057029118,6.2133721371,0.289
1.6057029118,6.2482787221,0.392
1.6406094969,0.0,0.409
1.6406094969,0.034906585,0.532
1.6406094969,0.0698131701,0.487
1.6406094969,0.1047197551,0.355
1.6406094969,0.1396263402,0.472
1.6406094969,0.1745329252,0.493
1.6406094969,0.2094395102,0.511
1.6406094969,0.2443460953,0.583
1.6406094969,0.2792526803,0.541
1.6406094969,0.3141592654,0.528
1.6406094969,0.3490658504,0.651
1.6406094969,0.3839724354,0.685
1.6406094969,0.4188790205,0.658
1.6406094969,0.4537856055,0.506
1.6406094969,0.4886921906,0.627
1.6406094969,0.5235987756,0.274
1.6406094969,0.5585053606,0.488
1.6406094969,0.5934119457,0.424
1.6406094969,0.6283185307,0.69
1.6406094969,0.6632251158,0.9
1.6406094969,0.6981317008,0.396
1.6406094969,0.7330382858,0.364
1.6406094969,0.7679448709,0.321
1.6406094969,0.8028514559,0.524
1.6406094969,0.837758041,0.605
1.6406094969,0.872664626,0.566
1.6406094969,0.907571211,0.686
1.6406094969,0.9424777961,0.648
1.6406094969,0.9773843811,0.722
1.6406094969,1.0122909662,0.855
1.6406094969,1.0471975512,0.665
1.6406094969,1.0821041362,0.571
1.6406094969,1.1170107213,0.722
1.6406094969,1.1519173063,0.137
1.6406094969,1.1868238914,0.141
1.6406094969,1.2217304764,0.142
1.6406094969,1.2566370614,0.138
1.6406094969,1.2915436465,0.137
1.6406094969,1.3264502315,0.152
1.6406094969,1.3613568166,0.164
1.6406094969,1.3962634016,0.173
1.6406094969,1.4311699866,0.312
1.6406094969,1.4660765717,0.661
1.6406094969,1.5009831567,0.42
1.6406094969,1.5358897418,0.852
1.6406094969,1.5707963268,0.906
1.6406094969,1.6057029118,0.435
1.6406094969,1.6406094969,0.76
1.6406094969,1.6755160819,0.725
1.6406094969,1.710422667,0.913
1.6406094969,1.745329252,0.793
1.6406094969,1.780235837,1.043
1.6406094969,1.8151424221,1.115
1.6406094969,1.8500490071,1.196
1.6406094969,1.8849555922,0.688
1.6406094969,1.9198621772,0.834
1.6406094969,1.9547687622,1.013
1.6406094969,1.9896753473,0.837
1.6406094969,2.0245819323,0.877
1.6406094969,2.0594885174,0.784
1.6406094969,2.0943951024,0.63
1.6406094969,2.1293016874,1.058
1.6406094969,2.1642082725,1.172
1.6406094969,2.1991148575,1.204
1.6406094969,2.2340214426,1.02
1.6406094969,2.2689280276,1.307
1.6406094969,2.3038346126,1.368
1.6406094969,2.3387411977,1.229
1.6406094969,2.3736477827,1.335
1.6406094969,2.4085543678,1.444
1.6406094969,2.4434609528,1.055
1.6406094969,2.4783675378,1.226
1.6406094969,2.5132741229,1.263
1.6406094969,2.5481807079,0.618
1.6406094969,2.583087293,1.307
1.6406094969,2.617993878,1.192
1.6406094969,2.652900463,1.39
1.6406094969,2.6878070481,1.356
1.6406094969,2.7227136331,1.148
1.6406094969,2.7576202182,1.186
1.6406094969,2.7925268032,1.299
1.6406094969,2.8274333882,1.797
1.6406094969,2.8623399733,1.38
1.6406094969,2.8972465583,1.323
1.6406094969,2.9321531434,1.077
1.6406094969,2.9670597284,1.188
1.6406094969,3.0019663134,1.34
1.6406094969,3.0368728985,1.071
1.6406094969,3.0717794835,1.287
1.6406094969,3.1066860685,1.175
1.6406094969,3.1415926536,1.473
1.6406094969,3.1764992386,1.213
1.6406094969,3.2114058237,1.336
1.6406094969,3.2463124087,1.442
1.6406094969,3.2812189937,1.117
1.6406094969,3.3161255788,1.471
1.6406094969,3.3510321638,0.988
1.6406094969,3.3859387489,1.349
1.6406094969,3.4208453339,1.043
1.6406094969,3.4557519189,1.293
1.6406094969,3.490658504,1.295
1.6406094969,3.525565089,1.006
1.6406094969,3.5604716741,1.173
1.6406094969,3.5953782591,1.35
1.6406094969,3.6302848441,1.515
1.6406094969,3.6651914292,1.356
1.6406094969,3.7000980142,1.198
1.6406094969,3.7350045993,1.165
1.6406094969,3.7699111843,1.168
1.6406094969,3.8048177693,0.967
1.6406094969,3.8397243544,1.392
1.6406094969,3.8746309394,1.2
1.6406094969,3.9095375245,1.219
1.6406094969,3.9444441095,1.4
1.6406094969,3.9793506945,1.161
1.6406094969,4.0142572796,1.254
1.6406094969,4.0491638646,1.089
1.6406094969,4.0840704497,1.442
1.6406094969,4.1189770347,1.339
1.6406094969,4.1538836197,0.895
1.6406094969,4.1887902048,1.197
1.6406094969,4.2236967898,1.419
1.6406094969,4.2586033749,1.037
1.6406094969,4.2935099599,1.382
1.6406094969,4.3284165449,1.532
1.6406094969,4.36332313,1.227
1.6406094969,4.398229715,1.257
1.6406094969,4.4331363001,1.195
1.6406094969,4.4680428851,0.988
1.6406094969,4.5029494701,1.018
1.6406094969,4.5378560552,1.234
1.6406094969,4.5727626402,1.149
1.6406094969,4.6076692253,0.605
1.6406094969,4.6425758103,1.008
1.6406094969,4.6774823953,1.177
1.6406094969,4.7123889804,1.062
1.6406094969,4.7472955654,1.165
1.6406094969,4.7822021505,0.855
1.6406094969,4.8171087355,1.089
1.6406094969,4.8520153205,0.989
1.6406094969,4.8869219056,1.218
1.6406094969,4.9218284906,0.878
1.6406094969,4.9567350757,0.856
1.6406094969,4.9916416607,0.778
1.6406094969,5.0265482457,0.991
1.6406094969,5.0614548308,0.895
1.6406094969,5.0963614158,0.669
1.6406094969,5.1312680009,1.171
1.6406094969,5.1661745859,0.88
1.6406094969,5.2010811709,0.755
1.6406094969,5.235987756,0.58
1.6406094969,5.270894341,0.623
1.6406094969,5.3058009261,0.68
1.6406094969,5.3407075111,0.626
1.6406094969,5.3756140961,0.65
1.6406094969,5.4105206812,0.422
1.6406094969,5.4454272662,0.6
1.6406094969,5.4803338513,0.463
1.6406094969,5.5152404363,0.607
1.6406094969,5.5501470213,0.6
1.6406094969,5.5850536064,0.802
1.6406094969,5.6199601914,0.789
1.6406094969,5.6548667765,0.722
1.6406094969,5.6897733615,0.392
1.6406094969,5.7246799465,0.583
1.6406094969,5.7595865316,0.565
1.6406094969,5.7944931166,0.744
1.6406094969,5.8293997017,0.784
1.6406094969,5.8643062867,0.807
1.6406094969,5.8992128717,0.5
1.6406094969,5.9341194568,0.341
1.6406094969,5.9690260418,0.481
1.6406094969,6.0039326269,0.513
1.6406094969,6.0388392119,0.416
1.6406094969,6.0737457969,0.256
1.6406094969,6.108652382,0.601
1.6406094969,6.143558967,0.506
1.6406094969,6.1784655521,0.487
1.6406094969,6.2133721371,0.234
1.6406094969,6.2482787221,0.527
1.6755160819,0.0,0.346
1.6755160819,0.034906585,0.187
1.6755160819,0.0698131701,0.531
1.6755160819,0.1047197551,0.678
1.6755160819,0.1396263402,0.483
1.6755160819,0.1745329252,0.746
1.6755160819,0.2094395102,0.62
1.6755160819,0.2443460953,0.633
1.6755160819,0.2792526803,0.482
1.6755160819,0.3141592654,0.746
1.6755160819,0.3490658504,0.435
1.6755160819,0.3839724354,0.626
1.6755160819,0.4188790205,0.816
1.6755160819,0.4537856055,0.896
1.6755160819,0.4886921906,0.744
1.6755160819,0.5235987756,0.729
1.6755160819,0.5585053606,0.632
1.6755160819,0.5934119457,0.5
1.6755160819,0.6283185307,0.162
1.6755160819,0.6632251158,0.589
1.6755160819,0.6981317008,0.514
1.6755160819,0.7330382858,0.574
1.6755160819,0.7679448709,0.374
1.6755160819,0.8028514559,0.598
1.6755160819,0.837758041,0.808
1.6755160819,0.872664626,0.756
1.6755160819,0.907571211,0.552
1.6755160819,0.9424777961,0.5
1.6755160819,0.9773843811,0.786
1.6755160819,1.0122909662,0.85
1.6755160819,1.0471975512,0.443
1.6755160819,1.0821041362,0.765
1.6755160819,1.1170107213,0.546
1.6755160819,1.1519173063,0.225
1.6755160819,1.1868238914,0.141
1.6755160819,1.2217304764,0.143
1.6755160819,1.2566370614,0.153
1.6755160819,1.2915436465,0.163
1.6755160819,1.3264502315,0.171
1.6755160819,1.3613568166,0.177
1.6755160819,1.3962634016,0.182
1.6755160819,1.4311699866,0.44
1.6755160819,1.4660765717,0.642
1.6755160819,1.5009831567,0.719
1.6755160819,1.5358897418,0.866
1.6755160819,1.5707963268,0.993
1.6755160819,1.6057029118,0.821
1.6755160819,1.6406094969,0.908
1.6755160819,1.6755160819,0.841
